dist=  44.0 cm | feature=0.2123 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.3% | 0 ms
dist=  44.3 cm | feature=0.2137 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.4% | 0 ms
dist=  44.4 cm | feature=0.2140 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.4% | 0 ms
dist=  44.6 cm | feature=0.2152 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.5% | 0 ms
dist=  44.9 cm | feature=0.2167 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.5% | 0 ms
dist=  45.2 cm | feature=0.2184 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.6% | 0 ms
dist=  45.7 cm | feature=0.2205 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.6% | 0 ms
dist=  46.2 cm | feature=0.2232 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.7% | 0 ms
dist=  46.7 cm | feature=0.2256 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.7% | 0 ms
dist=  47.1 cm | feature=0.2280 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.8% | 0 ms
dist=  47.6 cm | feature=0.2303 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=91.8% | 0 ms
dist=  48.1 cm | feature=0.2330 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=91.8% | 0 ms
dist=  48.7 cm | feature=0.2357 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=91.9% | 0 ms
dist=  49.1 cm | feature=0.2381 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=91.9% | 0 ms
dist=  49.6 cm | feature=0.2405 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=92.0% | 0 ms
dist=  50.1 cm | feature=0.2428 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=92.0% | 0 ms
dist=  50.4 cm | feature=0.2446 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=92.1% | 0 ms
dist=  50.7 cm | feature=0.2461 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=92.1% | 0 ms
dist=  51.0 cm | feature=0.2477 | modelo=MEDIO ( 97%) | regra=MEDIO | OK   | concordancia=92.1% | 0 ms
dist=  51.3 cm | feature=0.2492 | modelo=MEDIO ( 97%) | regra=MEDIO | OK   | concordancia=92.2% | 0 ms
dist=  51.7 cm | feature=0.2509 | modelo=MEDIO ( 96%) | regra=MEDIO | OK   | concordancia=92.2% | 0 ms
dist=  52.0 cm | feature=0.2526 | modelo=MEDIO ( 96%) | regra=MEDIO | OK   | concordancia=92.3% | 0 ms
dist=  52.4 cm | feature=0.2543 | modelo=MEDIO ( 95%) | regra=MEDIO | OK   | concordancia=92.3% | 0 ms
dist=  52.7 cm | feature=0.2561 | modelo=MEDIO ( 95%) | regra=MEDIO | OK   | concordancia=92.3% | 0 ms
dist=  53.1 cm | feature=0.2579 | modelo=MEDIO ( 92%) | regra=MEDIO | OK   | concordancia=92.4% | 0 ms
dist=  53.4 cm | feature=0.2597 | modelo=MEDIO ( 92%) | regra=MEDIO | OK   | concordancia=92.4% | 0 ms
dist=  53.8 cm | feature=0.2615 | modelo=MEDIO ( 90%) | regra=MEDIO | OK   | concordancia=92.5% | 0 ms
dist=  54.2 cm | feature=0.2636 | modelo=MEDIO ( 90%) | regra=MEDIO | OK   | concordancia=92.5% | 0 ms
dist=  54.6 cm | feature=0.2655 | modelo=MEDIO ( 82%) | regra=MEDIO | OK   | concordancia=92.5% | 0 ms
dist=  55.0 cm | feature=0.2675 | modelo=MEDIO ( 82%) | regra=MEDIO | OK   | concordancia=92.6% | 0 ms
dist=  55.4 cm | feature=0.2698 | modelo=MEDIO ( 82%) | regra=MEDIO | OK   | concordancia=92.6% | 0 ms
dist=  55.8 cm | feature=0.2718 | modelo=MEDIO ( 82%) | regra=MEDIO | OK   | concordancia=92.6% | 0 ms
dist=  56.3 cm | feature=0.2743 | modelo=MEDIO ( 73%) | regra=MEDIO | OK   | concordancia=92.7% | 0 ms
dist=  56.8 cm | feature=0.2769 | modelo=MEDIO ( 68%) | regra=MEDIO | OK   | concordancia=92.7% | 0 ms
dist=  57.4 cm | feature=0.2800 | modelo=MEDIO ( 68%) | regra=MEDIO | OK   | concordancia=92.8% | 0 ms
dist=  58.0 cm | feature=0.2827 | modelo=MEDIO ( 62%) | regra=MEDIO | OK   | concordancia=92.8% | 0 ms
